index,type,tag,title,author,year,volume,number,journal,pages,editor,booktitle,publisher,address,doi,misc,report,keywords,url,Link,keyword1,keyword2,keyword3,keyword4,keyword5
288,techreport,tbep1020,Ignacio Haya Living Shoreline Project,City of Tampa,2020,NA,#10-20,NA,9,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#10-20,"TBERF, restoration, bay habitats",http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_10_20_Tampa_2017_TBERF_Ignacio_Haya_Living_Shoreline_Report.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_10_20_Tampa_2017_TBERF_Ignacio_Haya_Living_Shoreline_Report.pdf"">View Document</a>",TBERF,restoration,bay habitats,NA,NA
287,techreport,tbep0920,Terra Ceia Huber and Frog Creek Upland Habitat Restoration Project,Southwest Florida Water Management District (L. Garcia),2020,NA,#09-20,NA,22,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#09-20,"TBERF, restoration, invasive species",http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_09_20_SWFWMD_2015_TBERF_Terra_Ceia_Report.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_09_20_SWFWMD_2015_TBERF_Terra_Ceia_Report.pdf"">View Document</a>",TBERF,restoration,invasive species,NA,NA
286,techreport,tbep0620,Twenty-five-year Trends in the Benthic Community and Sediment Quality of Tampa Bay 1993-2017,"D.J. Karlen, T. Dix, B.K. Goetting, S.E. Markham, K.Campbell, J. Jernigan, J.Christian, K. Martinez, A. Chacour",2020,NA,#06-20,NA,251,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NULL,#06-20,"benthos, status and trends, assessment, monitoring, contaminants",http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_06_20_Karlen_TampaBayBenthicTrends1993-2017.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_06_20_Karlen_TampaBayBenthicTrends1993-2017.pdf"">View Document</a>",benthos,status and trends,assessment,monitoring,contaminants
285,article,tbep0520,The effects of Hurricane Irma on seagrass meadows in previously eutrophic estuaries in Southwest Florida (USA),"D. Tomasko, M. Alderson, R. Burnes, J. Hecker, N. Iadevaia, J. Leverone, G. Raulerson, E. Sherwood",2020,156,#05-20,Marine Pollution Bulletin,1578441600,NA,NA,Marine Pollution Bulletin,NA,10.1016/j.marpolbul.2020.111247,#05-20,#05-20,"seagrass, bay habitats, monitoring, restoration, climate change",https://doi.org/10.1016/j.marpolbul.2020.111247,"<a href=""https://doi.org/10.1016/j.marpolbul.2020.111247"">View Document</a>",seagrass,bay habitats,monitoring,restoration,climate change
284,article,tbep0420,Social Factors Key to Landscape-Scale Coastal Restoration: Lessons Learned from Three U.S. Case Studies,B. DeAngelis & 20 others.,2020,12,#04-20,Sustainability,869,NA,NA,Sustainability,NA,10.3390/su12030869,#04-20,#04-20,"restoration, shellfish, seagrass, economic, assessment",http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_04_20_DeAngelis_2020_Social_Factors_Sustainability-12-00869.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_04_20_DeAngelis_2020_Social_Factors_Sustainability-12-00869.pdf"">View Document</a>",restoration,shellfish,seagrass,economic,assessment
283,techreport,tbep0320,2019 Tampa Bay Estuary Nutrient Management Compliance Assessment,"E.T. Sherwood, M. Burke, and M. Beck",2020,NA,#03-20,NA,NA,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#03-20,"pollutant loading, nitrogen, program guidance, regulations, assessment",https://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_03_20_TBNMC_2019_RA_Annual_Assessment_20200427.pdf,"<a href=""https://www.tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_03_20_TBNMC_2019_RA_Annual_Assessment_20200427.pdf"">View Document</a>",pollutant loading,nitrogen,program guidance,regulations,assessment
282,techreport,tbep0220,Southwest Florida Tidal Creeks: Nutrient Management Framework and Indicator Development,Janicki Environmental and Mote Marine Laboratory,2020,NA,#02-20,NA,NA,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#02-20,"water quality, bay habitats, assessment, fish and wildlife, tributary",https://www.tbeptech.org/TBEP_TECH_PUBS//2020/TBEP_02_20_2019_Tidal_Creeks_Final_Report.pdf,"<a href=""https://www.tbeptech.org/TBEP_TECH_PUBS//2020/TBEP_02_20_2019_Tidal_Creeks_Final_Report.pdf"">View Document</a>",water quality,bay habitats,assessment,fish and wildlife,tributary
281,techreport,tbep0120,2019 Tampa Bay Water Quality Assessment,"M. Beck, M. Burke, G. Raulerson",2020,NA,#01-20,NA,NA,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#01-20,"status and trends, water quality, chlorophyll, light attenuation, seagrass",https://tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_01_20_2019_Decision_Matrix_Update.pdf,"<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_01_20_2019_Decision_Matrix_Update.pdf"">View Document</a>",status and trends,water quality,chlorophyll,light attenuation,seagrass
280,techreport,tbep1819,Tampa Bay Living Shoreline Suitability Model Extension Project,Florida Fish and Wildlife Conservation Commission (C. Boland),2019,NA,#18-19,NA,6,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#18-19,"TBERF, restoration, bay habitats, modelling",http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_18_19_2018_FWC_Living_Shoreline_Suitability_Model_Extension_Final_Report.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_18_19_2018_FWC_Living_Shoreline_Suitability_Model_Extension_Final_Report.pdf"">View Document</a>",TBERF,restoration,bay habitats,modelling,NA
279,techreport,tbep1719,Downtown Safety Harbor Living Shoreline and Spring Restoration Project,City of Safety Harbor (M.C. Giuliani),2019,NA,#17-19,NA,99,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#17-19,"TBERF, restoration, bay habitats",http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_17_19_2018_Safety_Harbor_Living_Shoreline_Spring_Restoration_Final_Report.pdf.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_17_19_2018_Safety_Harbor_Living_Shoreline_Spring_Restoration_Final_Report.pdf.pdf"">View Document</a>",TBERF,restoration,bay habitats,NA,NA
278,techreport,tbep1619,Little Bird Key Living Shoreline Project,Friends of Tampa Bay National Wildlife Refuges (B. Howard),2019,NA,#16-19,NA,17,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#16-19,"TBERF, restoration, bay habitats",http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_16_19_2019_FOTBNWR_Little_Bird_Key_Final_Report.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_16_19_2019_FOTBNWR_Little_Bird_Key_Final_Report.pdf"">View Document</a>",TBERF,restoration,bay habitats,NA,NA
277,techreport,tbep1519,McKay Bay South Oyster Reef Project,Tampa Bay Watch (S. Herndon),2019,NA,#15-19,NA,6,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#15-19,"TBERF, shellfish, restoration",http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_15_19_2016_TBW_McKay_Bay_South_Oyster_Final_Report.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_15_19_2016_TBW_McKay_Bay_South_Oyster_Final_Report.pdf"">View Document</a>",TBERF,shellfish,restoration,NA,NA
276,techreport,tbep1419,Evaluation of Sportfish Habitat in Tampa Bay,"University of Florida (J. Hill, J. Paterson, K. Schulz, Q. Tuckett)",2019,NA,#14-19,NA,75,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#14-19,"TBERF, fish and wildlife, bay habitats, restoration, assessment",http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_14_19_2017_UF_Sportfish_Habitat_Final_Report.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_14_19_2017_UF_Sportfish_Habitat_Final_Report.pdf"">View Document</a>",TBERF,fish and wildlife,bay habitats,restoration,assessment
275,techreport,tbep1319,Fish Communities Associated with Hard Bottom Habitats in Tampa Bayard Bottom Habitats in Tampa Bay,"FFWCC (K.E. Flaherty-Walia, B.J. Williams, B. Barbara, B.L. Winner, P.W. Stevens, T.C. MacDonald, T.S. Switzer, and S.F. Keenan)",2019,NA,#13-19,NA,53,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#13-19,"TBERF, fish and wildlife, assessment, bay habitats",http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_13_19_2016_FWRI_Fish_Hard_Bottom_Final_Report.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_13_19_2016_FWRI_Fish_Hard_Bottom_Final_Report.pdf"">View Document</a>",TBERF,fish and wildlife,assessment,bay habitats,NA
274,techreport,tbep1219,"2018 Multimetric Index of Nekton Health for Tampa Bay, FL","M.N. Schrandt, T.C. MacDonald",2019,NA,#12-19,NA,NA,NA,NA,Tampa Bay Estuary Program,"St. Petersburg, Florida",NA,NA,#12-19,"assessment, monitoring, fish and wildlife, status and trends, water quality",http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_12-19_2018_Nekton_Index.pdf,"<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_12-19_2018_Nekton_Index.pdf"">View Document</a>",assessment,monitoring,fish and wildlife,status and trends,water quality
